PLAYER,TEAM,GP,POSS,FREQ,PPP,PTS,FGM,FGA,FG%,EFG%,FT,TO,SF,ANDONE,SCORE,
JaVale McGee,DAL,34,1,0.70%,0,0,0,1,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,
Elton Brand,PHI,17,1,0.70%,0,0,0,0,0,0,0.00%,100.00%,0.00%,0.00%,0.00%,
Dewayne Dedmon,ORL,58,1,0.40%,0,0,0,1,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,
Duje Dukan,SAC,1,1,14.30%,0,0,0,1,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,
Marc Gasol,MEM,52,1,0.20%,0,0,0,1,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,
Andrew Nicholson,ORL,56,1,0.30%,0,0,0,1,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,
Kevin Seraphin,NYK,49,1,0.40%,0,0,0,1,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,
Jusuf Nurkic,DEN,32,1,0.40%,0,0,0,1,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,
Thomas Robinson,BKN,71,2,0.60%,0,0,0,2,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,
Jason Smith,ORL,76,2,0.50%,0,0,0,1,0,0,0.00%,50.00%,0.00%,0.00%,0.00%,
Kevin Garnett,MIN,38,2,1.00%,0,0,0,2,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,
Nikola Jokic,DEN,80,2,0.30%,0,0,0,2,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,
Ian Mahinmi,IND,71,2,0.20%,0,0,0,1,0,0,0.00%,50.00%,0.00%,0.00%,0.00%,
Jeff Withey,UTA,51,2,0.70%,0,0,0,2,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,
Chris McCullough,BKN,24,3,2.10%,0,0,0,3,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,
Joakim Noah,CHI,29,3,0.90%,0,0,0,3,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,
Joffrey Lauvergne,DEN,59,3,0.80%,0,0,0,3,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,
Amare Stoudemire,MIA,52,4,1.00%,0,0,0,3,0,0,0.00%,25.00%,0.00%,0.00%,0.00%,
Xavier Munford,MEM,14,4,4.20%,0,0,0,4,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,
David West,SAS,78,5,0.80%,0,0,0,5,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,
Hassan Whiteside,MIA,73,6,0.50%,0,0,0,6,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,
Zach Randolph,MEM,68,8,1.10%,0,0,0,4,0,0,0.00%,50.00%,0.00%,0.00%,0.00%,
Anderson Varejao,CLE,31,2,1.40%,0.5,1,0,0,0,0,50.00%,50.00%,50.00%,0.00%,50.00%,
Chris Andersen,MEM,20,2,1.50%,0.5,1,0,1,0,0,50.00%,0.00%,50.00%,0.00%,50.00%,
Cody Zeller,CHA,73,1,0.10%,2,2,1,1,100,100,0.00%,0.00%,0.00%,0.00%,100.00%,
Nikola Pekovic,MIN,12,1,1.50%,2,2,1,1,100,100,0.00%,0.00%,0.00%,0.00%,100.00%,
Nene Hilario,WAS,57,1,0.20%,2,2,0,0,0,0,100.00%,0.00%,100.00%,0.00%,100.00%,
David Lee,DAL,25,2,1.10%,1,2,0,1,0,0,50.00%,0.00%,50.00%,0.00%,50.00%,
