PLAYER,TEAM,GP,POSS,FREQ,PPP,PTS,FGM,FGA,FG%,EFG%,FT,TO,SF,ANDONE,SCORE,PERCENTILE
Jodie Meeks,DET,3,1,5.60%,0,0,0,1,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,
Alex Stepheson,MEM,4,1,3.40%,0,0,0,1,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,
Jordan McRae,PHX,7,1,4.00%,0,0,0,1,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,
John Jenkins,PHX,22,1,1.60%,0,0,0,1,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,
Nate Robinson,NOP,2,1,9.10%,0,0,0,1,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,
Tony Wroten,PHI,8,2,5.30%,0,0,0,2,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,
Troy Daniels,CHA,43,4,2.80%,0,0,0,3,0,0,0.00%,25.00%,0.00%,0.00%,0.00%,
Bryce Cotton,PHX,3,1,5.30%,1,1,0,0,0,0,100.00%,0.00%,100.00%,0.00%,100.00%,
Sean Kilpatrick,BKN,22,7,5.90%,1.14,8,2,6,33.3,50,14.30%,0.00%,14.30%,0.00%,42.90%,
Phil Pressey,PHI,13,7,10.80%,0.86,6,1,5,20,20,28.60%,0.00%,28.60%,0.00%,42.90%,
Spencer Dinwiddie,DET,14,5,7.40%,0.4,2,0,4,0,0,20.00%,0.00%,20.00%,0.00%,20.00%,
Brandan Wright,MEM,12,5,6.00%,0.4,2,1,5,20,20,0.00%,0.00%,0.00%,0.00%,20.00%,
Greg Smith,MIN,18,5,7.70%,0.4,2,1,5,20,20,0.00%,0.00%,0.00%,0.00%,20.00%,
JaVale McGee,DAL,34,6,3.90%,0.33,2,0,4,0,0,16.70%,16.70%,16.70%,0.00%,16.70%,
Bryce Dejean-Jones,NOP,14,3,3.90%,1.33,4,2,2,100,100,0.00%,33.30%,0.00%,0.00%,66.70%,
Josh Huestis,OKC,5,4,20.00%,1,4,1,2,50,50,25.00%,25.00%,0.00%,0.00%,50.00%,
Elton Brand,PHI,17,4,2.90%,1,4,1,3,33.3,33.3,25.00%,0.00%,25.00%,0.00%,50.00%,
Henry Sims,BKN,14,5,5.30%,0.8,4,2,5,40,40,0.00%,0.00%,0.00%,0.00%,40.00%,
Nikola Pekovic,MIN,12,5,7.60%,0.8,4,2,5,40,40,0.00%,0.00%,0.00%,0.00%,40.00%,
Briante Weber,MEM,6,5,7.90%,0.8,4,1,3,33.3,50,20.00%,20.00%,20.00%,0.00%,40.00%,
Michael Kidd-Gilchrist,CHA,7,7,8.00%,0.57,4,2,7,28.6,28.6,0.00%,0.00%,0.00%,0.00%,28.60%,
Caron Butler,SAC,17,9,17.00%,0.44,4,1,8,12.5,12.5,11.10%,0.00%,11.10%,0.00%,22.20%,
Xavier Munford,MEM,14,6,6.30%,0.83,5,2,5,40,50,0.00%,16.70%,0.00%,0.00%,33.30%,
Darrun Hilliard,DET,38,8,7.70%,0.63,5,2,7,28.6,28.6,12.50%,0.00%,12.50%,0.00%,37.50%,
Robert Sacre,LAL,25,6,4.30%,1,6,3,5,60,60,0.00%,16.70%,0.00%,0.00%,50.00%,
Chris Andersen,MEM,20,8,6.20%,0.75,6,2,4,50,50,12.50%,37.50%,12.50%,0.00%,37.50%,
Alan Anderson,WAS,13,5,6.70%,1.4,7,3,5,60,70,0.00%,0.00%,0.00%,0.00%,60.00%,
James Ennis,NOP,9,6,6.60%,1.17,7,3,6,50,50,16.70%,0.00%,16.70%,16.70%,50.00%,
Ryan Hollins,MEM,18,6,6.30%,1.33,8,3,4,75,75,33.30%,0.00%,33.30%,0.00%,83.30%,
Jordan Hamilton,NOP,11,6,6.80%,1.5,9,3,5,60,70,33.30%,0.00%,33.30%,16.70%,66.70%,
Michael Beasley,HOU,20,9,7.60%,1.33,12,3,6,50,50,44.40%,0.00%,44.40%,11.10%,66.70%,
