PLAYER,TEAM,GP,POSS,FREQ,PPP,PTS,FGM,FGA,FG%,EFG%,FT,TO,SF,ANDONE,SCORE,
Alex Stepheson,MEM,4,1,3.40%,0,0,0,1,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,
Duje Dukan,SAC,1,1,14.30%,0,0,0,0,0,0,0.00%,100.00%,0.00%,0.00%,0.00%,
Briante Weber,MEM,6,1,1.60%,0,0,0,1,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,
Elton Brand,PHI,17,1,0.70%,0,0,0,1,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,
Bryce Cotton,PHX,3,1,5.30%,0,0,0,1,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,
Spencer Dinwiddie,DET,14,2,2.90%,0,0,0,2,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,
Josh Huestis,OKC,5,2,10.00%,0,0,0,2,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,
Charlie Villanueva,DAL,62,2,0.80%,0,0,0,1,0,0,0.00%,50.00%,0.00%,0.00%,0.00%,
Salah Mejri,DAL,34,2,1.20%,0,0,0,1,0,0,0.00%,50.00%,0.00%,0.00%,0.00%,
Tyler Zeller,BOS,61,4,1.10%,0,0,0,4,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,
Henry Sims,BKN,14,1,1.10%,2,2,1,1,100,100,0.00%,0.00%,0.00%,0.00%,100.00%,
Kris Humphries,WAS,28,7,4.30%,1.57,11,4,5,80,80,28.60%,0.00%,28.60%,0.00%,85.70%,
Jordan McRae,PHX,7,2,8.00%,1,2,1,2,50,50,0.00%,0.00%,0.00%,0.00%,50.00%,
Ryan Hollins,MEM,18,4,4.20%,1.75,7,3,4,75,87.5,0.00%,0.00%,0.00%,0.00%,75.00%,
Chris Andersen,MEM,20,3,2.30%,0.67,2,1,2,50,50,0.00%,33.30%,0.00%,0.00%,33.30%,
Dahntay Jones,CLE,1,3,15.00%,0.67,2,0,2,0,0,33.30%,0.00%,33.30%,0.00%,33.30%,
David West,SAS,78,3,0.50%,0.67,2,1,2,50,50,0.00%,33.30%,0.00%,0.00%,33.30%,
Cristiano Felicio,CHI,31,3,2.20%,0.67,2,1,3,33.3,33.3,0.00%,0.00%,0.00%,0.00%,33.30%,
Tarik Black,LAL,39,3,1.40%,0.67,2,1,1,100,100,33.30%,0.00%,66.70%,0.00%,33.30%,
Nate Robinson,NOP,2,3,27.30%,0.67,2,0,2,0,0,33.30%,0.00%,33.30%,0.00%,33.30%,
Cole Aldrich,LAC,60,4,1.00%,0.5,2,1,4,25,25,0.00%,0.00%,0.00%,0.00%,25.00%,
Jusuf Nurkic,DEN,32,4,1.70%,0.5,2,0,3,0,0,25.00%,0.00%,25.00%,0.00%,25.00%,
Jodie Meeks,DET,3,4,22.20%,0.5,2,1,4,25,25,0.00%,0.00%,0.00%,0.00%,25.00%,
Festus Ezeli,GSW,46,5,1.10%,0.4,2,1,3,33.3,33.3,0.00%,40.00%,0.00%,0.00%,20.00%,
Marreese Speights,GSW,72,6,1.20%,0.33,2,1,6,16.7,16.7,0.00%,0.00%,0.00%,0.00%,16.70%,
JaVale McGee,DAL,34,6,3.90%,0.33,2,1,6,16.7,16.7,0.00%,0.00%,0.00%,0.00%,16.70%,
Willie Reed,BKN,39,6,3.10%,0.33,2,0,5,0,0,16.70%,0.00%,16.70%,0.00%,16.70%,
Nene Hilario,WAS,57,8,1.60%,0.25,2,1,8,12.5,12.5,0.00%,0.00%,0.00%,0.00%,12.50%,
David Lee,BOS,30,2,0.90%,1.5,3,1,2,50,50,50.00%,0.00%,50.00%,50.00%,50.00%,
Anderson Varejao,CLE,31,1,0.70%,3,3,1,1,100,150,0.00%,0.00%,0.00%,0.00%,100.00%,
Drew Gooden,WAS,30,2,1.80%,1.5,3,1,2,50,75,0.00%,0.00%,0.00%,0.00%,50.00%,
Ray McCallum,MEM,10,2,2.60%,1.5,3,1,1,100,150,0.00%,50.00%,0.00%,0.00%,50.00%,
Carl Landry,PHI,36,3,1.20%,1,3,1,3,33.3,50,0.00%,0.00%,0.00%,0.00%,33.30%,
Caron Butler,SAC,17,3,5.70%,1,3,1,3,33.3,50,0.00%,0.00%,0.00%,0.00%,33.30%,
Brian Roberts,CHA,30,4,3.20%,0.75,3,1,4,25,37.5,0.00%,0.00%,0.00%,0.00%,25.00%,
Andre Miller,MIN,26,7,5.60%,0.86,6,2,5,40,60,0.00%,28.60%,0.00%,0.00%,28.60%,
John Jenkins,PHX,22,7,10.90%,0.43,3,1,6,16.7,25,0.00%,14.30%,0.00%,0.00%,14.30%,
Jared Cunningham,MIL,4,2,8.70%,2,4,1,2,50,75,50.00%,0.00%,50.00%,50.00%,50.00%,
Tony Wroten,PHI,8,2,5.30%,2,4,2,2,100,100,0.00%,0.00%,0.00%,0.00%,100.00%,
Phil Pressey,PHX,9,2,5.40%,3,6,2,2,100,150,0.00%,0.00%,0.00%,0.00%,100.00%,
Robert Sacre,LAL,25,5,3.50%,0.8,4,2,5,40,40,0.00%,0.00%,0.00%,0.00%,40.00%,
Josh McRoberts,MIA,42,6,2.30%,0.67,4,1,5,20,20,16.70%,0.00%,16.70%,0.00%,33.30%,
Roy Hibbert,LAL,81,6,0.80%,0.67,4,2,6,33.3,33.3,0.00%,0.00%,0.00%,0.00%,33.30%,
Kyle O'Quinn,NYK,65,7,1.70%,0.57,4,2,7,28.6,28.6,0.00%,0.00%,0.00%,0.00%,28.60%,
Tim Duncan,SAS,61,8,1.20%,0.5,4,2,7,28.6,28.6,0.00%,12.50%,0.00%,0.00%,25.00%,
Aron Baynes,DET,81,4,0.60%,1.25,5,2,4,50,62.5,0.00%,0.00%,0.00%,0.00%,50.00%,
Amare Stoudemire,MIA,52,4,1.00%,1.25,5,2,4,50,62.5,0.00%,0.00%,0.00%,0.00%,50.00%,
Donatas Motiejunas,HOU,37,5,2.20%,1,5,2,5,40,50,0.00%,0.00%,0.00%,0.00%,40.00%,
Marc Gasol,MEM,52,7,1.10%,0.71,5,2,6,33.3,41.7,0.00%,14.30%,0.00%,0.00%,28.60%,
Timofey Mozgov,CLE,76,3,0.50%,2,6,3,3,100,100,0.00%,0.00%,0.00%,0.00%,100.00%,
Clint Capela,HOU,77,5,0.80%,1.2,6,3,5,60,60,0.00%,0.00%,0.00%,0.00%,60.00%,
Brandan Wright,MEM,12,5,6.00%,1.2,6,3,5,60,60,0.00%,0.00%,0.00%,0.00%,60.00%,
