PLAYER,TEAM,GP,POSS,FREQ,PPP,PTS,FGM,FGA,FG%,EFG%,FT,TO,SF,ANDONE,SCORE,
Duje Dukan,SAC,1,1,14.30%,0,0,0,1,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,
Beno Udrih,MIA,36,8,3.40%,1.13,9,4,5,80,80,12.50%,25.00%,12.50%,0.00%,62.50%,
Andre Miller,MIN,26,6,4.80%,1,6,2,3,66.7,66.7,33.30%,16.70%,33.30%,0.00%,66.70%,
Chuck Hayes,HOU,2,2,16.70%,0,0,0,1,0,0,0.00%,50.00%,0.00%,0.00%,0.00%,
Sonny Weems,PHX,36,3,2.60%,0,0,0,1,0,0,0.00%,66.70%,0.00%,0.00%,0.00%,
John Jenkins,PHX,22,8,12.50%,0.13,1,0,7,0,0,12.50%,0.00%,12.50%,0.00%,12.50%,
Jodie Meeks,DET,3,2,11.10%,1,2,1,2,50,50,0.00%,0.00%,0.00%,0.00%,50.00%,
Tyreke Evans,NOP,25,2,0.80%,1,2,1,2,50,50,0.00%,0.00%,0.00%,0.00%,50.00%,
Alan Anderson,WAS,13,2,2.70%,1,2,1,1,100,100,0.00%,50.00%,0.00%,0.00%,50.00%,
Bryce Cotton,PHX,3,2,10.50%,1,2,0,0,0,0,50.00%,50.00%,50.00%,0.00%,50.00%,
Darrun Hilliard,DET,38,2,1.90%,1,2,1,2,50,50,0.00%,0.00%,0.00%,0.00%,50.00%,
Greivis Vasquez,MIL,23,4,2.80%,0.5,2,1,4,25,25,0.00%,0.00%,0.00%,0.00%,25.00%,
Spencer Dinwiddie,DET,14,3,4.40%,1,3,1,2,50,50,33.30%,0.00%,0.00%,0.00%,66.70%,
Lamar Patterson,ATL,35,3,2.40%,1,3,1,3,33.3,33.3,33.30%,0.00%,33.30%,33.30%,33.30%,
Brian Roberts,CHA,30,2,1.60%,2,4,1,1,100,100,50.00%,0.00%,50.00%,0.00%,100.00%,
Bryce Dejean-Jones,NOP,14,3,3.90%,1.33,4,2,3,66.7,66.7,0.00%,0.00%,0.00%,0.00%,66.70%,
Josh Huestis,OKC,5,4,20.00%,1,4,2,4,50,50,0.00%,0.00%,0.00%,0.00%,50.00%,
Glenn Robinson III,IND,45,4,2.70%,1,4,1,3,33.3,33.3,25.00%,0.00%,25.00%,0.00%,50.00%,
Kevin Martin,MIN,39,6,2.60%,0.67,4,2,4,50,50,16.70%,16.70%,16.70%,0.00%,33.30%,
Michael Beasley,HOU,20,9,7.60%,0.44,4,2,6,33.3,33.3,0.00%,33.30%,0.00%,0.00%,22.20%,
Nikola Pekovic,MIN,12,9,13.60%,0.44,4,2,7,28.6,28.6,0.00%,22.20%,0.00%,0.00%,22.20%,
Phil Pressey,PHI,13,6,9.20%,1.33,8,4,5,80,80,0.00%,16.70%,0.00%,0.00%,66.70%,
Xavier Munford,MEM,14,5,5.30%,1,5,2,3,66.7,66.7,20.00%,20.00%,20.00%,0.00%,60.00%,
Jordan Hamilton,NOP,11,6,6.80%,0.83,5,1,4,25,25,33.30%,0.00%,33.30%,0.00%,50.00%,
Jordan Farmar,MEM,12,4,3.60%,1.5,6,3,4,75,75,0.00%,0.00%,0.00%,0.00%,75.00%,
Briante Weber,MEM,6,4,6.30%,1.5,6,3,4,75,75,0.00%,0.00%,0.00%,0.00%,75.00%,
Alex Stepheson,MEM,4,5,17.20%,1.2,6,3,5,60,60,20.00%,0.00%,20.00%,20.00%,60.00%,
Chase Budinger,IND,49,9,4.10%,0.67,6,3,8,37.5,37.5,0.00%,11.10%,0.00%,0.00%,33.30%,
Shabazz Napier,ORL,55,9,3.80%,0.67,6,2,4,50,50,22.20%,33.30%,22.20%,0.00%,44.40%,
Ray McCallum,MEM,10,5,6.60%,1.4,7,2,3,66.7,66.7,40.00%,0.00%,20.00%,0.00%,80.00%,
James Ennis,NOP,9,8,8.80%,0.88,7,3,6,50,50,12.50%,12.50%,12.50%,0.00%,50.00%,
Jason Thompson,TOR,19,9,9.50%,0.78,7,3,7,42.9,42.9,11.10%,22.20%,11.10%,11.10%,33.30%,
Drew Gooden,WAS,30,6,5.30%,1.33,8,1,1,100,100,66.70%,16.70%,33.30%,0.00%,83.30%,
Troy Daniels,CHA,43,6,4.20%,1.33,8,1,2,50,50,66.70%,0.00%,50.00%,0.00%,66.70%,
Reggie Bullock,DET,37,8,5.70%,1.13,9,4,8,50,50,12.50%,0.00%,12.50%,12.50%,50.00%,
Tyus Jones,MIN,37,7,3.40%,1.43,10,4,6,66.7,66.7,28.60%,0.00%,14.30%,14.30%,71.40%,
Metta World Peace,LAL,35,9,4.80%,1.11,10,5,9,55.6,55.6,0.00%,0.00%,0.00%,0.00%,55.60%,
Caron Butler,SAC,17,9,17.00%,1.33,12,3,4,75,75,33.30%,22.20%,33.30%,0.00%,66.70%,
Aaron Brooks,CHI,69,18,4.40%,1.22,22,10,15,66.7,66.7,16.70%,11.10%,16.70%,11.10%,61.10%,3.1
Aaron Gordon,ORL,78,66,10.60%,0.82,54,22,58,37.9,37.9,12.10%,4.50%,10.60%,4.50%,40.90%,60.8
Alec Burks,UTA,31,11,4.50%,1.09,12,4,8,50,50,18.20%,9.10%,0.00%,0.00%,54.50%,10.2
Al Jefferson,CHA,47,71,14.00%,0.61,43,15,46,32.6,32.6,15.50%,23.90%,15.50%,4.20%,32.40%,92.6
Al Farouq Aminu,POR,82,83,11.50%,0.84,70,31,67,46.3,46.3,7.20%,14.50%,7.20%,2.40%,42.20%,53.7
Al Horford,ATL,82,177,15.40%,0.8,141,56,142,39.4,39.4,13.00%,10.20%,11.30%,3.40%,40.10%,65.3
Sean Kilpatrick,BKN,22,11,9.20%,1.45,16,7,10,70,70,18.20%,0.00%,9.10%,9.10%,72.70%,0.3
C.J. Watson,ORL,33,13,6.40%,0.77,10,3,9,33.3,33.3,15.40%,15.40%,15.40%,0.00%,38.50%,72.4
Chris McCullough,BKN,24,12,8.40%,1.33,16,4,6,66.7,66.7,41.70%,8.30%,41.70%,0.00%,66.70%,1.5
Cristiano Felicio,CHI,31,12,8.80%,1,12,4,8,50,50,25.00%,16.70%,25.00%,8.30%,50.00%,19.2
Tim Hardaway Jr.,ATL,51,12,4.40%,0.5,6,1,6,16.7,16.7,16.70%,33.30%,8.30%,0.00%,25.00%,98.7
James Jones,CLE,38,15,11.60%,0.2,3,1,10,10,10,6.70%,26.70%,6.70%,0.00%,13.30%,100
Norman Powell,TOR,49,14,5.50%,0.64,9,3,8,37.5,37.5,21.40%,21.40%,21.40%,0.00%,35.70%,89.5
Jason Terry,HOU,72,12,2.90%,0.5,6,1,6,16.7,16.7,16.70%,33.30%,8.30%,0.00%,25.00%,98.7
Rashad Vaughn,MIL,70,13,4.40%,0.46,6,3,8,37.5,37.5,0.00%,38.50%,0.00%,0.00%,23.10%,99.2
Jerryd Bayless,MIL,52,23,4.80%,0.26,6,2,16,12.5,12.5,4.30%,26.10%,4.30%,0.00%,13.00%,99.7
Jared Cunningham,CLE,24,10,8.10%,0.8,8,4,7,57.1,57.1,10.00%,20.00%,0.00%,0.00%,40.00%,64.4
Anderson Varejao,CLE,31,11,7.60%,0.73,8,4,6,66.7,66.7,0.00%,36.40%,9.10%,0.00%,36.40%,81.2
Justin Anderson,DAL,56,14,8.00%,0.71,10,4,11,36.4,36.4,21.40%,0.00%,21.40%,0.00%,42.90%,83.6
Ryan Hollins,MEM,18,17,17.90%,1.12,19,7,12,58.3,58.3,29.40%,5.90%,29.40%,5.90%,64.70%,7.9
Tyler Ennis,MIL,46,11,4.70%,0.73,8,3,7,42.9,42.9,18.20%,18.20%,9.10%,0.00%,36.40%,81.2
Shelvin Mack,UTA,28,23,6.40%,0.78,18,8,16,50,50,4.30%,26.10%,4.30%,0.00%,39.10%,68.3
Donald Sloan,BKN,61,15,3.20%,0.67,10,4,13,30.8,30.8,6.70%,6.70%,6.70%,0.00%,33.30%,88.4
Kendall Marshall,PHI,30,15,10.40%,0.73,11,3,7,42.9,42.9,20.00%,40.00%,6.70%,6.70%,33.30%,79.5
Gary Neal,WAS,40,15,6.70%,0.53,8,4,12,33.3,33.3,0.00%,20.00%,0.00%,0.00%,26.70%,96.4
OJ Mayo,MIL,41,16,4.80%,0.5,8,2,8,25,25,18.80%,31.30%,18.80%,0.00%,31.30%,98.7
Anthony Brown,LAL,29,10,4.90%,0.9,9,4,8,50,50,10.00%,10.00%,10.00%,0.00%,50.00%,41.6
Kostas Papanikolaou,DEN,26,11,9.50%,0.82,9,4,10,40,40,9.10%,0.00%,9.10%,0.00%,45.50%,60.8
Michael Kidd-Gilchrist,CHA,7,11,12.50%,0.82,9,4,9,44.4,44.4,9.10%,9.10%,9.10%,0.00%,45.50%,60.8
Kirk Hinrich,CHI,36,12,5.00%,0.75,9,2,7,28.6,28.6,25.00%,16.70%,25.00%,0.00%,41.70%,76.9
Anthony Morrow,OKC,68,15,5.90%,0.6,9,2,9,22.2,22.2,20.00%,20.00%,20.00%,0.00%,33.30%,93.3
James Johnson,TOR,57,18,5.20%,0.5,9,3,13,23.1,23.1,16.70%,11.10%,16.70%,0.00%,27.80%,98.7
