PLAYER,TEAM,GP,POSS,FREQ,PPP,PTS,FGM,FGA,FG%,EFG%,FT,TO,SF,ANDONE,SCORE,
Amare Stoudemire,MIA,52,1,0.30%,0,0,0,1,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,
Kevin Seraphin,NYK,49,1,0.40%,0,0,0,1,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,
Andrew Nicholson,ORL,56,6,2.10%,0,0,0,3,0,0,0.00%,50.00%,0.00%,0.00%,0.00%,
Jahil Okafor,PHI,53,3,0.40%,0,0,0,2,0,0,0.00%,33.30%,0.00%,0.00%,0.00%,
Nene Hilario,WAS,57,1,0.20%,0,0,0,0,0,0,0.00%,100.00%,0.00%,0.00%,0.00%,
Salah Mejri,DAL,34,2,1.20%,0,0,0,2,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,
David Lee,DAL,25,2,1.10%,0,0,0,2,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,
JJ Hickson,DEN,20,3,2.10%,0,0,0,2,0,0,0.00%,33.30%,0.00%,0.00%,0.00%,
Donatas Motiejunas,HOU,37,3,1.30%,0,0,0,1,0,0,0.00%,66.70%,0.00%,0.00%,0.00%,
Josh Smith,LAC,32,5,1.90%,1,5,2,4,50,62.5,0.00%,20.00%,0.00%,0.00%,40.00%,
Jeff Withey,UTA,51,1,0.30%,0,0,0,1,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,
Marc Gasol,MEM,52,1,0.20%,0,0,0,0,0,0,0.00%,100.00%,0.00%,0.00%,0.00%,
Al Horford,ATL,82,9,0.80%,0,0,0,7,0,0,0.00%,22.20%,0.00%,0.00%,0.00%,
Tiago Splitter,ATL,36,1,0.40%,0,0,0,1,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,
Kendrick Perkins,NOP,38,1,0.40%,0,0,0,0,0,0,0.00%,100.00%,0.00%,0.00%,0.00%,
Nate Robinson,NOP,2,2,18.20%,0,0,0,2,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,
Joakim Noah,CHI,29,5,1.50%,0,0,0,4,0,0,0.00%,20.00%,0.00%,0.00%,0.00%,
Timofey Mozgov,CLE,76,1,0.20%,0,0,0,1,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,
Channing Frye,ORL,44,6,2.30%,0.5,3,1,3,33.3,33.3,16.70%,33.30%,16.70%,0.00%,33.30%,
Jodie Meeks,DET,3,2,11.10%,0,0,0,2,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,
Jonas Valanciunas,TOR,60,2,0.30%,0,0,0,2,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,
Bismack Biyombo,TOR,82,1,0.10%,0,0,0,1,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,
Festus Ezeli,GSW,46,2,0.50%,0,0,0,2,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,
Cole Aldrich,LAC,60,1,0.20%,0,0,0,0,0,0,0.00%,100.00%,0.00%,0.00%,0.00%,
Tarik Black,LAL,39,1,0.50%,0,0,0,1,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,
Brandon Bass,LAL,66,3,0.60%,0,0,0,3,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,
Kris Humphries,ATL,21,2,1.40%,2,4,2,2,100,100,0.00%,0.00%,0.00%,0.00%,100.00%,
DeMarcus Cousins,SAC,65,2,0.20%,0,0,0,1,0,0,0.00%,50.00%,0.00%,0.00%,0.00%,
Duje Dukan,SAC,1,1,14.30%,0,0,0,1,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,
Nick Collison,OKC,59,1,0.30%,0,0,0,1,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,
Dewayne Dedmon,ORL,58,3,1.10%,0.33,1,0,0,0,0,33.30%,66.70%,33.30%,0.00%,33.30%,
Anderson Varejao,CLE,31,2,1.40%,0.5,1,0,1,0,0,50.00%,0.00%,50.00%,0.00%,50.00%,
Steven Adams,OKC,80,6,0.60%,0.17,1,0,5,0,0,16.70%,0.00%,16.70%,0.00%,16.70%,
Brook Lopez,BKN,74,4,0.40%,0.5,2,1,2,50,50,0.00%,50.00%,0.00%,0.00%,25.00%,
Chris McCullough,BKN,24,5,3.50%,0.4,2,1,4,25,25,20.00%,0.00%,20.00%,0.00%,20.00%,
Robin Lopez,NYK,82,4,0.40%,0.5,2,1,4,25,25,0.00%,0.00%,0.00%,0.00%,25.00%,
Nikola Vucevic,ORL,65,2,0.20%,1,2,0,0,0,0,50.00%,50.00%,50.00%,0.00%,50.00%,
Jason Smith,ORL,76,2,0.50%,1,2,1,2,50,50,0.00%,0.00%,0.00%,0.00%,50.00%,
Richaun Holmes,PHI,51,2,0.60%,1,2,0,1,0,0,50.00%,0.00%,50.00%,0.00%,50.00%,
Jusuf Nurkic,DEN,32,1,0.40%,2,2,1,1,100,100,0.00%,0.00%,0.00%,0.00%,100.00%,
Jarell Martin,MEM,27,1,0.80%,2,2,1,1,100,100,0.00%,0.00%,0.00%,0.00%,100.00%,
Omer Asik,NOP,68,1,0.20%,2,2,1,1,100,100,0.00%,0.00%,0.00%,0.00%,100.00%,
Cristiano Felicio,CHI,31,4,2.90%,0.5,2,0,2,0,0,25.00%,25.00%,25.00%,0.00%,25.00%,
Ian Mahinmi,IND,71,1,0.10%,2,2,1,1,100,100,0.00%,0.00%,0.00%,0.00%,100.00%,
Greg Monroe,MIL,79,1,0.10%,2,2,1,1,100,100,0.00%,0.00%,0.00%,0.00%,100.00%,
Marreese Speights,GSW,72,3,0.60%,0.67,2,1,2,50,50,0.00%,33.30%,0.00%,0.00%,33.30%,
Roy Hibbert,LAL,81,2,0.30%,1,2,1,2,50,50,0.00%,0.00%,0.00%,0.00%,50.00%,
Mason Plumlee,POR,82,3,0.30%,0.67,2,1,3,33.3,33.3,0.00%,0.00%,0.00%,0.00%,33.30%,
Caron Butler,SAC,17,6,11.30%,0.33,2,1,6,16.7,16.7,0.00%,0.00%,0.00%,0.00%,16.70%,
Josh Huestis,OKC,5,2,10.00%,1,2,0,0,0,0,50.00%,50.00%,0.00%,0.00%,50.00%,
Jared Sullinger,BOS,81,4,0.50%,0.75,3,1,4,25,25,25.00%,0.00%,25.00%,25.00%,25.00%,
Willie Reed,BKN,39,3,1.60%,1,3,1,2,50,75,0.00%,33.30%,0.00%,0.00%,33.30%,
Carl Landry,PHI,36,1,0.40%,3,3,1,1,100,150,0.00%,0.00%,0.00%,0.00%,100.00%,
Alexis Ajinca,NOP,59,1,0.20%,3,3,1,1,100,150,0.00%,0.00%,0.00%,0.00%,100.00%,
John Henson,MIL,57,4,1.00%,0.75,3,1,3,33.3,50,0.00%,25.00%,0.00%,0.00%,25.00%,
