PLAYER,TEAM,GP,POSS,FREQ,PPP,PTS,FGM,FGA,FG%,EFG%,FT,TO,SF,ANDONE,SCORE,
Jared Cunningham,MIL,4,1,4.30%,0,0,0,1,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,
Alex Stepheson,MEM,4,1,3.40%,0,0,0,1,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,
Jodie Meeks,DET,3,1,5.60%,0,0,0,1,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,
Brandon Jennings,DET,23,1,0.70%,0,0,0,1,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,
Xavier Munford,MEM,14,1,1.10%,0,0,0,1,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,
PJ Hairston,MEM,18,4,4.20%,1,4,2,4,50,50,0.00%,0.00%,0.00%,0.00%,50.00%,
Phil Pressey,PHI,13,1,1.50%,3,3,1,1,100,150,0.00%,0.00%,0.00%,0.00%,100.00%,
Briante Weber,MEM,6,1,1.60%,0,0,0,0,0,0,0.00%,100.00%,0.00%,0.00%,0.00%,
Jameer Nelson,DEN,39,1,0.30%,0,0,0,1,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,
Darrun Hilliard,DET,38,1,1.00%,0,0,0,0,0,0,0.00%,100.00%,0.00%,0.00%,0.00%,
John Jenkins,PHX,22,1,1.60%,0,0,0,1,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,
Kevin Martin,MIN,39,3,1.30%,2.67,8,2,2,100,150,33.30%,0.00%,33.30%,0.00%,100.00%,
Michael Kidd-Gilchrist,CHA,7,1,1.10%,0,0,0,1,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,
Alan Anderson,WAS,13,1,1.30%,0,0,0,1,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,
DJ Augustin,DEN,28,3,1.40%,1.67,5,2,3,66.7,66.7,33.30%,0.00%,33.30%,33.30%,66.70%,
Jordan Hamilton,NOP,11,2,2.30%,0,0,0,2,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,
Sean Kilpatrick,BKN,22,2,1.70%,0,0,0,2,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,
Ty Lawson,HOU,53,7,2.00%,1.71,12,5,7,71.4,85.7,0.00%,0.00%,0.00%,0.00%,71.40%,
Nikola Pekovic,MIN,12,3,4.50%,0,0,0,3,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,
Chase Budinger,IND,49,4,1.80%,1.5,6,2,4,50,62.5,25.00%,0.00%,25.00%,25.00%,50.00%,
Seth Curry,SAC,44,4,1.80%,0,0,0,3,0,0,0.00%,25.00%,0.00%,0.00%,0.00%,
Troy Daniels,CHA,43,4,2.80%,0,0,0,4,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,
Metta World Peace,LAL,35,6,3.20%,0,0,0,5,0,0,0.00%,16.70%,0.00%,0.00%,0.00%,
Nik Stauskas,PHI,73,8,1.40%,0,0,0,7,0,0,0.00%,12.50%,0.00%,0.00%,0.00%,
Khris Middleton,MIL,79,9,1.00%,0,0,0,5,0,0,0.00%,33.30%,0.00%,0.00%,0.00%,
Caron Butler,SAC,17,1,1.90%,1,1,0,0,0,0,100.00%,0.00%,0.00%,0.00%,100.00%,
Devin Harris,DAL,64,5,1.20%,0.2,1,0,3,0,0,20.00%,20.00%,20.00%,0.00%,20.00%,
Jordan McRae,PHX,7,1,4.00%,2,2,1,1,100,100,0.00%,0.00%,0.00%,0.00%,100.00%,
Jonathan Simmons,SAS,55,2,0.80%,1,2,1,1,100,100,0.00%,50.00%,0.00%,0.00%,50.00%,
Tim Frazier,NOP,16,2,1.20%,1,2,1,1,100,100,0.00%,50.00%,0.00%,0.00%,50.00%,
James Ennis,NOP,9,2,2.20%,1,2,1,2,50,50,0.00%,0.00%,0.00%,0.00%,50.00%,
Anthony Brown,LAL,29,2,1.00%,1,2,1,2,50,50,0.00%,0.00%,0.00%,0.00%,50.00%,
Jordan Farmar,MEM,12,3,2.70%,0.67,2,1,3,33.3,33.3,0.00%,0.00%,0.00%,0.00%,33.30%,
Gerald Henderson,POR,72,3,0.80%,0.67,2,1,3,33.3,33.3,0.00%,0.00%,0.00%,0.00%,33.30%,
Justin Holiday,CHI,27,2,1.00%,1.5,3,1,1,100,100,50.00%,0.00%,50.00%,0.00%,100.00%,
Jarrett Jack,BKN,32,3,0.80%,0.67,2,0,2,0,0,33.30%,0.00%,33.30%,0.00%,33.30%,
Lamar Patterson,ATL,35,3,2.40%,0.67,2,1,2,50,50,0.00%,33.30%,0.00%,0.00%,33.30%,
