PLAYER,TEAM,GP,POSS,FREQ,PPP,PTS,FGM,FGA,FG%,EFG%,FT,TO,SF,ANDONE,SCORE,
Duje Dukan,SAC,1,3,42.90%,0,0,0,2,0,0,0.00%,33.30%,0.00%,0.00%,0.00%,
Nate Robinson,NOP,2,3,27.30%,0.67,2,1,3,33.3,33.3,0.00%,0.00%,0.00%,0.00%,33.30%,
Chuck Hayes,HOU,2,2,16.70%,1.5,3,1,2,50,75,0.00%,0.00%,0.00%,0.00%,50.00%,
Josh Huestis,OKC,5,6,30.00%,0.5,3,1,5,20,30,0.00%,16.70%,0.00%,0.00%,16.70%,
Jodie Meeks,DET,3,4,22.20%,1.75,7,2,3,66.7,83.3,25.00%,0.00%,25.00%,0.00%,75.00%,
Alex Stepheson,MEM,4,5,17.20%,1.4,7,2,4,50,62.5,20.00%,0.00%,20.00%,0.00%,60.00%,
Spencer Dinwiddie,DET,14,7,10.30%,1,7,2,5,40,50,14.30%,14.30%,14.30%,0.00%,42.90%,
Bryce Cotton,PHX,3,6,31.60%,1.33,8,3,5,60,80,0.00%,16.70%,0.00%,0.00%,50.00%,
Brandan Wright,MEM,12,8,9.50%,1.5,12,5,8,62.5,75,0.00%,0.00%,0.00%,0.00%,62.50%,
Dahntay Jones,CLE,1,9,45.00%,1.44,13,4,8,50,68.8,11.10%,0.00%,11.10%,0.00%,55.60%,
Tony Wroten,PHI,8,7,18.40%,2.14,15,5,5,100,130,14.30%,14.30%,0.00%,0.00%,85.70%,
Aaron Gordon,ORL,78,207,33.30%,0.83,171,59,184,32.1,43.2,5.30%,6.30%,4.80%,0.50%,31.90%,83.3
Alan Anderson,WAS,13,26,34.70%,1.12,29,9,21,42.9,59.5,7.70%,11.50%,3.80%,0.00%,42.30%,17.6
Al Jefferson,CHA,47,53,10.50%,0.75,40,17,49,34.7,37.8,5.70%,5.70%,5.70%,3.80%,34.00%,90.7
Alec Burks,UTA,31,52,21.30%,0.92,48,15,42,35.7,48.8,7.70%,11.50%,5.80%,0.00%,36.50%,63.4
Al Horford,ATL,82,168,14.60%,0.92,155,64,160,40,46.9,1.80%,3.00%,1.80%,0.00%,39.90%,63.8
Al Farouq Aminu,POR,82,176,24.30%,0.94,166,60,158,38,49.1,4.00%,7.40%,4.00%,1.10%,36.90%,58.8
Cristiano Felicio,CHI,31,11,8.00%,0.45,5,2,11,18.2,22.7,0.00%,0.00%,0.00%,0.00%,18.20%,99.1
CJ Wilcox,LAC,16,19,32.80%,0.63,12,4,17,23.5,32.4,10.50%,0.00%,10.50%,0.00%,26.30%,97.6
Cleanthony Early,NYK,10,15,30.60%,0.73,11,3,11,27.3,40.9,13.30%,13.30%,13.30%,0.00%,26.70%,93.5
Robert Sacre,LAL,25,10,7.10%,1.2,12,5,10,50,60,0.00%,0.00%,0.00%,0.00%,50.00%,8.3
Delon Wright,TOR,19,18,25.40%,1.5,27,8,15,53.3,73.3,11.10%,5.60%,11.10%,0.00%,55.60%,0.2
Xavier Munford,MEM,14,17,17.90%,1.12,19,6,14,42.9,64.3,5.90%,11.80%,5.90%,0.00%,41.20%,16.7
Elton Brand,PHI,17,13,9.60%,0.23,3,1,10,10,15,0.00%,23.10%,0.00%,0.00%,7.70%,100
Greg Smith,MIN,18,10,15.40%,0.4,4,2,10,20,20,0.00%,0.00%,0.00%,0.00%,20.00%,99.6
Nikola Pekovic,MIN,12,11,16.70%,0.36,4,1,10,10,10,9.10%,0.00%,0.00%,0.00%,18.20%,99.8
Jared Cunningham,MIL,4,10,43.50%,0.5,5,2,9,22.2,27.8,0.00%,10.00%,0.00%,0.00%,20.00%,98.7
Andre Miller,MIN,26,45,35.70%,0.64,29,9,42,21.4,29.8,4.40%,2.20%,2.20%,0.00%,24.40%,97.2
Caron Butler,SAC,17,12,22.60%,0.67,8,4,11,36.4,36.4,0.00%,8.30%,0.00%,0.00%,33.30%,96.7
Henry Sims,BKN,14,16,17.00%,1,16,6,15,40,53.3,0.00%,6.30%,0.00%,0.00%,37.50%,41.5
Jason Thompson,TOR,19,21,22.10%,0.95,20,7,19,36.8,52.6,0.00%,9.50%,0.00%,0.00%,33.30%,55.4
Michael Kidd-Gilchrist,CHA,7,22,25.00%,0.41,9,3,21,14.3,21.4,0.00%,4.50%,0.00%,0.00%,13.60%,99.3
Terry Rozier III,BOS,31,13,14.40%,1.15,15,6,13,46.2,57.7,0.00%,0.00%,0.00%,0.00%,46.20%,12.2
Phil Pressey,PHI,13,11,16.90%,1,11,4,11,36.4,50,0.00%,0.00%,0.00%,0.00%,36.40%,41.5
Anderson Varejao,CLE,31,23,15.90%,0.48,11,5,22,22.7,25,0.00%,4.30%,0.00%,0.00%,21.70%,98.9
John Jenkins,PHX,22,15,23.40%,0.8,12,4,15,26.7,40,0.00%,0.00%,0.00%,0.00%,26.70%,87
Joe Young,IND,36,20,14.40%,0.75,15,4,16,25,31.3,15.00%,10.00%,5.00%,5.00%,30.00%,91.7
Mario Chalmers,MEM,55,89,19.60%,0.74,66,22,75,29.3,38.7,6.70%,9.00%,4.50%,0.00%,31.50%,92.6
